ss,Country,Code,Year,Mismanaged Plastic,GDP,Population
91,Madagascar,A91,2016,33046.2487042147,11848613859.5279,25501941.0
91,Madagascar,A91,2017,33984.63218756802,13176313593.5509,26169542.0
91,Madagascar,A91,2018,35036.46226560948,13760033282.6071,26846541.0
91,Madagascar,A91,2019,35764.751503319014,14104664677.9627,27533134.0
92,Malaysia,A92,2000,277930.23686273844,93789736842.1053,22945150.0
92,Malaysia,A92,2001,291304.0054410032,92783947368.4211,23542517.0
92,Malaysia,A92,2002,309323.5609935948,100845526315.789,24142445.0
92,Malaysia,A92,2003,326073.07610891975,110202368421.053,24739411.0
92,Malaysia,A92,2004,345296.12350315216,124749473684.211,25333247.0
92,Malaysia,A92,2005,360854.80909903697,143534418452.154,25923536.0
92,Malaysia,A92,2006,380873.1669541211,162692260155.07,26509413.0
92,Malaysia,A92,2007,401812.19463997893,193549547954.753,27092604.0
92,Malaysia,A92,2008,407240.9657091183,230811591306.52,27664296.0
92,Malaysia,A92,2009,421659.8872411017,202257458160.849,28217204.0
92,Malaysia,A92,2010,446269.0985373566,255017645207.18,28717731.0
92,Malaysia,A92,2011,463595.630320059,297951667650.449,29184133.0
92,Malaysia,A92,2012,478348.72291162313,314443061220.138,29660212.0
92,Malaysia,A92,2013,495084.49310000066,323276281683.441,30134807.0
92,Malaysia,A92,2014,508404.94628040027,338066121289.413,30606459.0
92,Malaysia,A92,2015,529813.1130037917,301354783698.72,31068833.0
92,Malaysia,A92,2016,543523.1233597413,301255332137.075,31526418.0
92,Malaysia,A92,2017,558957.0422395063,319109103242.055,31975806.0
92,Malaysia,A92,2018,576256.8566413722,358788833524.945,32399271.0
92,Malaysia,A92,2019,588235.2825357063,365177744321.011,32804020.0
93,Maldives,A93,2000,5900.6695641957285,624337145.284622,282507.0
93,Maldives,A93,2001,6184.604806719692,870031653.109155,287324.0
93,Maldives,A93,2002,6567.173627621404,897031250.0,292284.0
93,Maldives,A93,2003,6922.778527511607,1052121054.6875,297226.0
